iter	Passed	Remaining
399	31795	47692
400	31864	47597
401	31941	47514
402	32005	47413
403	32090	47341
404	32174	47268
405	32254	47190
406	32352	47137
407	32417	47037
408	32489	46947
409	32563	46858
410	32645	46783
411	32716	46691
412	32791	46607
413	32846	46492
414	32915	46398
415	32976	46293
416	33037	46188
417	33106	46094
418	33180	46009
419	33232	45891
420	33324	45830
421	33384	45725
422	33454	45633
423	33515	45530
424	33580	45432
425	33651	45343
426	33725	45257
427	33779	45144
428	33852	45057
429	33916	44958
430	33980	44860
431	34036	44751
432	34105	44659
433	34178	44574
434	34249	44485
435	34317	44392
436	34382	44296
437	34456	44210
438	34517	44110
439	34585	44017
440	34667	43943
441	34774	43900
442	34865	43837
443	34948	43764
444	35037	43698
445	35087	43584
446	35150	43486
447	35211	43385
448	35283	43298
449	35352	43208
450	35436	43136
451	35527	43072
452	35612	43002
453	35693	42925
454	35751	42823
455	35834	42749
456	35906	42663
457	35982	42581
458	36048	42488
459	36117	42399
460	36188	42311
461	36251	42215
462	36325	42131
463	36388	42035
464	36465	41955
465	36539	41871
466	36610	41784
467	36671	41686
468	36746	41604
469	36811	41511
470	36886	41428
471	36950	41333
472	37017	41244
473	37091	41160
474	37156	41067
475	37231	40985
476	37301	40899
477	37376	40817
478	37441	40724
479	37501	40626
480	37551	40517
481	37629	40440
482	37709	40364
483	37776	40273
484	37856	40197
485	37935	40121
486	37993	40022
487	38065	39937
488	38136	39852
489	38194	39753
490	38271	39674
491	38348	39595
492	38436	39528
493	38513	39449
494	38570	39349
495	38655	39279
496	38743	39211
497	38795	39107
498	38858	39013
499	38937	38937
500	39001	38845
501	39054	38743
502	39122	38655
503	39202	38580
504	39263	38485
505	39328	38395
506	39409	38320
507	39490	38246
508	39577	38177
509	39648	38093
510	39709	38000
511	39791	37926
512	39859	37839
513	39942	37766
514	39999	37669
515	40079	37594
516	40163	37521
517	40235	37439
518	40322	37370
519	40405	37297
520	40471	37209
521	40545	37127
522	40609	37038
523	40696	36968
524	40760	36878
525	40818	36783
526	40895	36704
527	40966	36621
528	41036	36537
529	41099	36447
530	41179	36370
531	41253	36290
532	41329	36211
533	41387	36116
534	41454	36030
535	41526	35948
536	41578	35849
537	41648	35765
538	41719	35682
539	41781	35591
540	41868	35522
541	41953	35451
542	42027	35370
543	42106	35295
544	42167	35203
545	42241	35123
546	42295	35027
547	42356	34936
548	42427	34854
549	42486	34761
550	42554	34676
551	42634	34601
552	42711	34524
553	42767	34430
554	42832	34343
555	42888	34248
556	42940	34151
557	43010	34069
558	43071	33979
559	43124	33883
560	43190	33798
561	43257	33712
562	43315	33621
563	43385	33538
564	43458	33459
565	43530	33378
566	43603	33298
567	43659	33205
568	43720	33116
569	43769	33019
570	43836	32934
571	43913	32858
572	43978	32772
573	44055	32696
574	44115	32607
575	44168	32513
576	44223	32420
577	44295	32340
578	44359	32254
579	44424	32169
580	44482	32079
581	44567	32008
582	44637	31927
583	44695	31838
584	44748	31744
585	44843	31681
586	44913	31600
587	44983	31519
588	45052	31437
589	45111	31348
590	45181	31267
591	45248	31184
592	45308	31096
593	45370	31010
594	45423	30918
595	45484	30832
596	45544	30744
597	45615	30664
598	45700	30594
599	45755	30503
600	45836	30430
601	45890	30339
602	45950	30252
603	46007	30164
604	46091	30092
605	46155	30008
606	46232	29933
607	46285	29841
608	46363	29767
609	46434	29687
610	46510	29611
611	46584	29533
612	46647	29449
613	46721	29372
614	46788	29290
615	46857	29210
616	46906	29116
617	46984	29042
618	47044	28956
619	47107	28872
620	47169	28787
621	47243	28710
622	47298	28621
623	47381	28550
624	47472	28483
625	47522	28392
626	47596	28315
627	47677	28241
628	47749	28163
629	47808	28078
630	47892	28006
631	47957	27924
632	48004	27832
633	48090	27761
634	48154	27679
635	48216	27595
636	48273	27508
637	48328	27421
638	48410	27349
639	48471	27265
640	48527	27178
641	48600	27101
642	48681	27028
643	48762	26955
644	48856	26890
645	48936	26816
646	49017	26743
647	49096	26669
648	49157	26585
649	49234	26511
650	49304	26431
651	49369	26350
652	49437	26270
653	49513	26194
654	49573	26111
655	49644	26033
656	49709	25951
657	49762	25864
658	49816	25777
659	49881	25696
660	49957	25621
661	50050	25554
662	50129	25480
663	50197	25401
664	50255	25316
665	50318	25234
666	50382	25153
667	50459	25078
668	50517	24994
669	50583	24914
670	50666	24842
671	50749	24770
672	50809	24687
673	50888	24613
674	50971	24541
675	51042	24464
676	51112	24386
677	51186	24309
678	51250	24229
679	51327	24154
680	51425	24089
681	51506	24016
682	51557	23929
683	51608	23842
684	51676	23763
685	51746	23685
686	51824	23611
687	51901	23536
688	51979	23462
689	52043	23381
690	52124	23308
691	52202	23234
692	52264	23153
693	52326	23072
694	52402	22996
695	52460	22913
696	52534	22837
697	52590	22754
698	52633	22664
699	52698	22585
700	52766	22506
701	52825	22424
702	52878	22339
703	52944	22260
704	53021	22186
705	53105	22114
706	53174	22037
707	53254	21963
708	53346	21895
709	53397	21810
710	53441	21722
711	53500	21640
712	53578	21566
713	53661	21494
714	53746	21423
715	53818	21346
716	53864	21260
717	53925	21179
718	54005	21106
719	54095	21037
720	54150	20954
721	54202	20870
722	54260	20788
723	54334	20713
724	54404	20636
725	54481	20562
726	54539	20480
727	54598	20399
728	54666	20321
729	54746	20248
730	54825	20175
731	54896	20098
732	54948	20015
733	55030	19942
734	55111	19870
735	55169	19788
736	55242	19713
737	55287	19627
738	55339	19544
739	55400	19465
740	55474	19389
741	55557	19317
742	55614	19236
743	55678	19158
744	55753	19083
745	55813	19003
746	55892	18930
747	55991	18863
748	56062	18787
749	56121	18707
750	56206	18635
751	56281	18560
752	56332	18478
753	56387	18397
754	56451	18318
755	56515	18240
756	56567	18158
757	56641	18083
758	56720	18009
759	56796	17935
760	56849	17854
761	56924	17779
762	56986	17701
763	57044	17621
764	57102	17541
765	57173	17465
766	57250	17391
767	57319	17315
768	57382	17237
769	57457	17162
770	57516	17083
771	57570	17002
772	57630	16923
773	57700	16847
774	57766	16770
775	57816	16689
776	57886	16613
777	57961	16539
778	58038	16465
779	58092	16385
780	58174	16312
781	58230	16233
782	58282	16152
783	58326	16069
784	58393	15993
785	58478	15921
786	58530	15841
787	58581	15760
788	58656	15686
789	58726	15610
790	58786	15532
791	58881	15463
792	58956	15389
793	59038	15317
794	59082	15235
795	59145	15157
796	59233	15087
797	59297	15010
798	59379	14937
799	59465	14866
800	59543	14792
801	59629	14721
802	59693	14644
803	59760	14568
804	59820	14490
805	59887	14414
806	59960	14339
807	60039	14266
808	60103	14189
809	60171	14114
810	60250	14041
811	60305	13962
812	60398	13892
813	60479	13819
814	60551	13744
815	60644	13674
816	60714	13599
817	60780	13523
818	60865	13451
819	60935	13376
820	61008	13301
821	61094	13229
822	61178	13157
823	61251	13082
824	61319	13007
825	61382	12930
826	61445	12853
827	61511	12777
828	61566	12699
829	61635	12624
830	61698	12547
831	61791	12477
832	61852	12400
833	61916	12323
834	61978	12247
835	62035	12169
836	62088	12091
837	62144	12013
838	62211	11938
839	62274	11861
840	62333	11784
841	62414	11711
842	62490	11638
843	62572	11565
844	62614	11485
845	62692	11412
846	62771	11338
847	62839	11263
848	62891	11185
849	62965	11111
850	63029	11035
851	63068	10955
852	63139	10881
853	63199	10804
854	63252	10727
855	63301	10648
856	63372	10574
857	63427	10497
858	63475	10419
859	63545	10344
860	63606	10268
861	63668	10192
862	63719	10115
863	63787	10040
864	63846	9964
865	63926	9891
866	64005	9818
867	64090	9746
868	64146	9669
869	64218	9595
870	64279	9520
871	64352	9446
872	64436	9373
873	64496	9298
874	64560	9222
875	64616	9146
876	64677	9071
877	64754	8997
878	64846	8926
879	64928	8853
880	64996	8779
881	65070	8705
882	65139	8631
883	65207	8556
884	65256	8479
885	65308	8403
886	65379	8329
887	65448	8254
888	65534	8182
889	65589	8106
890	65648	8031
891	65718	7956
892	65770	7880
893	65829	7805
894	65893	7730
895	65963	7656
896	66033	7582
897	66110	7509
898	66151	7431
899	66232	7359
900	66293	7284
901	66363	7210
902	66450	7138
903	66506	7062
904	66558	6986
905	66636	6913
906	66709	6840
907	66772	6765
908	66830	6690
909	66887	6615
910	66941	6539
911	66986	6463
912	67045	6388
913	67131	6316
914	67193	6242
915	67254	6167
916	67329	6094
917	67382	6018
918	67456	5945
919	67512	5870
920	67604	5798
921	67703	5727
922	67772	5653
923	67834	5579
924	67900	5505
925	67966	5431
926	68024	5356
927	68085	5282
928	68162	5209
929	68236	5136
930	68308	5062
931	68377	4988
932	68419	4913
933	68494	4840
934	68569	4766
935	68670	4695
936	68748	4622
937	68810	4548
938	68892	4475
939	68970	4402
940	69042	4328
941	69114	4255
942	69192	4182
943	69262	4108
944	69351	4036
945	69417	3962
946	69487	3888
947	69548	3814
948	69611	3740
949	69672	3666
950	69744	3593
951	69824	3520
952	69891	3446
953	69933	3372
954	70003	3298
955	70077	3225
956	70142	3151
957	70194	3077
958	70278	3004
959	70336	2930
960	70389	2856
961	70478	2783
962	70573	2711
963	70666	2638
964	70736	2565
965	70786	2491
966	70852	2417
967	70926	2344
968	70993	2271
969	71073	2198
970	71145	2124
971	71221	2051
972	71274	1977
973	71345	1904
974	71396	1830
975	71454	1757
976	71520	1683
977	71593	1610
978	71682	1537
979	71762	1464
980	71824	1391
981	71886	1317
982	71964	1244
983	72050	1171
984	72106	1098
985	72158	1024
986	72230	951
987	72294	878
988	72358	804
989	72413	731
990	72464	658
991	72543	585
992	72614	511
993	72681	438
994	72733	365
995	72811	292
996	72873	219
997	72932	146
998	72997	73
999	73068	0
