iter	MultiClass
0	1.09365776
1	1.088844008
2	1.084153481
3	1.079571878
4	1.0751309
5	1.070790741
6	1.066520894
7	1.062340189
8	1.058254703
9	1.054251804
10	1.050345792
11	1.046555974
12	1.042804649
13	1.039156051
14	1.035615185
15	1.03214332
16	1.028718767
17	1.025362858
18	1.02209454
19	1.018856612
20	1.015736784
21	1.012627682
22	1.009609508
23	1.006634595
24	1.003747154
25	1.000867221
26	0.9980496756
27	0.9952834933
28	0.9926245071
29	0.9899519948
30	0.9873312035
31	0.9847744676
32	0.9822471079
33	0.9797659873
34	0.9773526165
35	0.9749514609
36	0.9725833758
37	0.9702680843
38	0.9680240582
39	0.9657853352
40	0.9635818875
41	0.961447143
42	0.9593631065
43	0.9572839562
44	0.9551912797
45	0.9531878637
46	0.9511886784
47	0.949262546
48	0.9473408827
49	0.9454494297
50	0.9435727541
51	0.9417292682
52	0.9399272545
53	0.9381736249
54	0.936436918
55	0.9347226751
56	0.9330572931
57	0.9313821389
58	0.9297296872
59	0.928095469
60	0.9265074302
61	0.9249597911
62	0.9233872448
63	0.9218938293
64	0.92039809
65	0.91893703
66	0.9175099938
67	0.9160408897
68	0.9146199909
69	0.9132194112
70	0.9118350985
71	0.9104574596
72	0.9090693334
73	0.9077463352
74	0.9065013357
75	0.9052008612
76	0.9039692091
77	0.9027632387
78	0.9015454106
79	0.9003598188
80	0.8991428249
81	0.8979306576
82	0.8967344594
83	0.8955995161
84	0.8944295359
85	0.8932966781
86	0.8921780615
87	0.8910853054
88	0.889982658
89	0.8888986015
90	0.8878757999
91	0.8868378037
92	0.8858234038
93	0.8847965504
94	0.8837988943
95	0.882864221
96	0.8818501787
97	0.880870041
98	0.8799205307
99	0.8790064744
100	0.8780483241
101	0.8771159152
102	0.876198105
103	0.8752880409
104	0.8743943632
105	0.8735161184
106	0.8726188059
107	0.8717437787
108	0.8709278017
109	0.8700564689
110	0.8692064085
111	0.8683860817
112	0.867563431
113	0.8667632444
114	0.8659781332
115	0.8652011853
116	0.8644057657
117	0.8636018847
118	0.862795382
119	0.8620395278
120	0.8613155523
121	0.86057382
122	0.8597972297
123	0.8590713474
124	0.8583253249
125	0.8576484823
126	0.8568985867
127	0.856213402
128	0.8555068853
129	0.8547984619
130	0.8541401507
131	0.8534332169
132	0.8527884914
133	0.8521015787
134	0.8514413011
135	0.8507609429
136	0.8501029297
137	0.8494464656
138	0.8487851155
